Coinbase_ID,Binance_ID,Base,Quote
ADA-BTC,ADABTC,ADA,BTC
AVAX-BTC,AVAXBTC,AVAX,BTC
BCH-BTC,BCHBTC,BCH,BTC
DOGE-BTC,DOGEBTC,DOGE,BTC
DOT-BTC,DOTBTC,DOT,BTC
ETH-BTC,ETHBTC,ETH,BTC
LINK-BTC,LINKBTC,LINK,BTC
LTC-BTC,LTCBTC,LTC,BTC
SOL-BTC,SOLBTC,SOL,BTC
XLM-BTC,XLMBTC,XLM,BTC
ADA-ETH,ADAETH,ADA,ETH
LINK-ETH,LINKETH,LINK,ETH
SOL-ETH,SOLETH,SOL,ETH
ADA-EUR,ADAEUR,ADA,EUR
AVAX-EUR,AVAXEUR,AVAX,EUR
BCH-EUR,BCHEUR,BCH,EUR
BTC-EUR,BTCEUR,BTC,EUR
DOGE-EUR,DOGEEUR,DOGE,EUR
DOT-EUR,DOTEUR,DOT,EUR
ETH-EUR,ETHEUR,ETH,EUR
LINK-EUR,LINKEUR,LINK,EUR
LTC-EUR,LTCEUR,LTC,EUR
SOL-EUR,SOLEUR,SOL,EUR
XLM-EUR,XLMEUR,XLM,EUR
XRP-EUR,XRPEUR,XRP,EUR
ADA-USDT,ADAUSDT,ADA,USDT
AVAX-USDT,AVAXUSDT,AVAX,USDT
BTC-USDT,BTCUSDT,BTC,USDT
DOGE-USDT,DOGEUSDT,DOGE,USDT
DOT-USDT,DOTUSDT,DOT,USDT
ETH-USDT,ETHUSDT,ETH,USDT
LINK-USDT,LINKUSDT,LINK,USDT
SOL-USDT,SOLUSDT,SOL,USDT
XLM-USDT,XLMUSDT,XLM,USDT
XRP-USDT,XRPUSDT,XRP,USDT
